board_width,board_height,health,my_head_x,my_head_y,game_id,turn,seed,direction,label_source
11,11,100,9,5,31be0014-85c9-4192-a11c-46ba08268ca7,0,100,down,rule_based_agent
11,11,99,9,4,31be0014-85c9-4192-a11c-46ba08268ca7,1,100,left,rule_based_agent
11,11,98,8,4,31be0014-85c9-4192-a11c-46ba08268ca7,2,100,down,rule_based_agent
11,11,97,8,3,31be0014-85c9-4192-a11c-46ba08268ca7,3,100,down,rule_based_agent
11,11,96,8,2,31be0014-85c9-4192-a11c-46ba08268ca7,4,100,right,rule_based_agent
11,11,95,9,2,31be0014-85c9-4192-a11c-46ba08268ca7,5,100,down,rule_based_agent
11,11,94,9,1,31be0014-85c9-4192-a11c-46ba08268ca7,6,100,right,rule_based_agent
11,11,93,10,1,31be0014-85c9-4192-a11c-46ba08268ca7,7,100,down,rule_based_agent
11,11,92,10,0,31be0014-85c9-4192-a11c-46ba08268ca7,8,100,left,rule_based_agent
11,11,91,9,0,31be0014-85c9-4192-a11c-46ba08268ca7,9,100,up,rule_based_agent
11,11,90,9,1,31be0014-85c9-4192-a11c-46ba08268ca7,10,100,right,rule_based_agent
11,11,89,10,1,31be0014-85c9-4192-a11c-46ba08268ca7,11,100,up,rule_based_agent
11,11,88,10,2,31be0014-85c9-4192-a11c-46ba08268ca7,12,100,up,rule_based_agent
11,11,87,10,3,31be0014-85c9-4192-a11c-46ba08268ca7,13,100,left,rule_based_agent
11,11,86,9,3,31be0014-85c9-4192-a11c-46ba08268ca7,14,100,down,rule_based_agent
11,11,85,9,2,31be0014-85c9-4192-a11c-46ba08268ca7,15,100,down,rule_based_agent
11,11,84,9,1,31be0014-85c9-4192-a11c-46ba08268ca7,16,100,right,rule_based_agent
11,11,83,10,1,31be0014-85c9-4192-a11c-46ba08268ca7,17,100,up,rule_based_agent
11,11,82,10,2,31be0014-85c9-4192-a11c-46ba08268ca7,18,100,left,rule_based_agent
11,11,81,9,2,31be0014-85c9-4192-a11c-46ba08268ca7,19,100,up,rule_based_agent
11,11,80,9,3,31be0014-85c9-4192-a11c-46ba08268ca7,20,100,left,rule_based_agent
11,11,79,8,3,31be0014-85c9-4192-a11c-46ba08268ca7,21,100,up,rule_based_agent
11,11,78,8,4,31be0014-85c9-4192-a11c-46ba08268ca7,22,100,up,rule_based_agent
11,11,77,8,5,31be0014-85c9-4192-a11c-46ba08268ca7,23,100,up,rule_based_agent
11,11,76,8,6,31be0014-85c9-4192-a11c-46ba08268ca7,24,100,up,rule_based_agent
11,11,75,8,7,31be0014-85c9-4192-a11c-46ba08268ca7,25,100,left,rule_based_agent
11,11,74,7,7,31be0014-85c9-4192-a11c-46ba08268ca7,26,100,down,rule_based_agent
11,11,73,7,6,31be0014-85c9-4192-a11c-46ba08268ca7,27,100,right,rule_based_agent
11,11,72,8,6,31be0014-85c9-4192-a11c-46ba08268ca7,28,100,down,rule_based_agent
11,11,71,8,5,31be0014-85c9-4192-a11c-46ba08268ca7,29,100,down,rule_based_agent
11,11,70,8,4,31be0014-85c9-4192-a11c-46ba08268ca7,30,100,left,rule_based_agent
11,11,100,7,4,31be0014-85c9-4192-a11c-46ba08268ca7,31,100,down,rule_based_agent
11,11,99,7,3,31be0014-85c9-4192-a11c-46ba08268ca7,32,100,right,rule_based_agent
11,11,98,8,3,31be0014-85c9-4192-a11c-46ba08268ca7,33,100,right,rule_based_agent
